loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,revol_bal,revol_util,total_acc,longest_credit_length
5510,60 months,14.94,250.13,C,8 years,RENT,154424.17,Charged Off,small_business,7.8,3,796,752,2,40498,12.21,39,12
21037,36 months,17.15,753.92,C,< 1 year,OWN,152260.65,Default,major_purchase,6.14,8,716,668,6,22086,86.17,18,6
28187,36 months,14.65,854.79,G,3 years,OWN,72990.17,Default,home_improvement,22.97,7,628,794,1,25680,35.82,26,49
12790,60 months,18.08,459.51,A,9 years,OWN,33931.9,Fully Paid,credit_card,5.17,4,675,706,4,46118,43.75,25,8
6395,36 months,18.17,732.66,E,2 years,MORTGAGE,45434.02,Fully Paid,major_purchase,8.64,8,756,626,9,5616,88.72,21,6
18183,36 months,9.1,250.88,B,8 years,OTHER,180425.12,Fully Paid,credit_card,1.81,3,691,696,8,24202,93.37,15,5
9803,36 months,11.56,525.86,F,2 years,MORTGAGE,142882.25,Default,home_improvement,18.49,4,633,761,9,49500,1.79,38,17
18029,36 months,12.94,642.89,D,1 year,MORTGAGE,76761.86,Default,major_purchase,11.66,7,668,673,6,5741,73.76,41,31
28489,60 months,19.49,567.1,D,4 years,RENT,83541.11,Charged Off,home_improvement,24.63,8,737,622,5,43947,18.41,17,1
11466,60 months,8.12,747.53,D,6 years,RENT,172046.32,Default,small_business,21.54,5,834,812,4,31761,54.6,10,38
19879,36 months,12.59,669.05,C,4 years,RENT,159918.48,Fully Paid,credit_card,18.21,0,747,765,6,49217,76.8,34,4
31386,36 months,23.14,434.59,B,5 years,MORTGAGE,97046.91,Fully Paid,major_purchase,28.68,0,839,827,9,29457,83.74,23,15
16500,36 months,14.26,520.47,E,1 year,MORTGAGE,138522.64,Default,major_purchase,9.68,9,665,688,0,29319,52.61,45,40
5945,60 months,5.25,462.84,B,< 1 year,MORTGAGE,95595.93,Default,credit_card,0.24,9,707,635,7,32012,28.53,7,24
23770,60 months,18.16,367.9,F,4 years,RENT,35521.01,Default,home_improvement,11.6,8,770,767,0,22483,54.89,5,40
2105,60 months,10.18,652.72,D,< 1 year,RENT,123269.16,Fully Paid,credit_card,28.92,6,747,623,5,9205,22.83,18,5
39236,36 months,21.69,183.69,A,< 1 year,OTHER,74360.57,Fully Paid,major_purchase,15.54,9,831,675,8,23602,92.65,43,42
5459,60 months,20.49,766.28,A,7 years,OTHER,43624.44,Charged Off,major_purchase,1.63,9,755,642,6,49524,47.79,17,38
7347,60 months,22.09,843.33,A,7 years,OTHER,41243.74,Charged Off,home_improvement,25.24,4,821,825,7,7832,86.02,40,37
27895,36 months,8.33,588.0,C,4 years,OTHER,65266.94,Charged Off,small_business,25.09,6,664,730,0,16761,3.48,23,5
38134,60 months,22.97,221.8,A,7 years,OTHER,36197.61,Default,small_business,16.58,4,710,838,5,2742,82.52,33,49
14478,36 months,16.87,600.7,A,7 years,OTHER,181178.53,Default,major_purchase,2.65,5,779,731,4,47279,54.62,18,11
15046,36 months,6.38,310.28,C,10+ years,OWN,195901.54,Fully Paid,major_purchase,5.31,4,832,771,3,47610,52.07,24,44
26788,60 months,16.22,500.86,D,9 years,RENT,142581.52,Charged Off,credit_card,23.21,8,733,709,6,16477,6.91,26,8
33156,36 months,19.73,687.88,G,9 years,RENT,186478.32,Fully Paid,credit_card,1.02,2,739,685,1,18428,91.16,33,49
3620,36 months,7.72,414.23,F,7 years,OTHER,74091.03,Fully Paid,credit_card,25.24,8,610,758,9,12934,4.16,47,33
20526,60 months,7.55,776.2,G,8 years,MORTGAGE,28147.04,Charged Off,credit_card,10.94,1,744,605,5,35942,62.64,36,22
31972,60 months,16.75,217.08,C,8 years,OWN,167176.62,Charged Off,small_business,14.74,2,749,788,3,34691,58.19,10,44
1840,36 months,18.69,611.64,A,9 years,OWN,57271.78,Default,debt_consolidation,20.43,1,816,705,6,324,40.04,8,49
13296,60 months,22.94,205.54,E,< 1 year,OWN,134706.77,Default,home_improvement,7.81,5,669,705,2,41758,22.88,46,1
7960,36 months,9.55,443.83,A,7 years,OTHER,145792.17,Fully Paid,major_purchase,2.54,7,816,649,3,38914,40.02,14,39
26821,36 months,18.59,891.69,F,5 years,OWN,58520.36,Fully Paid,credit_card,22.66,7,604,737,7,27627,20.27,34,45
5665,60 months,14.11,141.93,C,< 1 year,OWN,31609.44,Charged Off,home_improvement,9.39,5,698,755,5,13355,18.54,17,4
36035,60 months,16.68,757.58,E,4 years,OTHER,101663.22,Default,credit_card,22.78,3,621,628,2,22713,74.94,22,48
18806,60 months,15.47,493.18,B,6 years,RENT,111297.44,Charged Off,debt_consolidation,25.0,1,804,762,3,38146,96.52,45,28
36672,60 months,15.53,942.64,B,9 years,MORTGAGE,123886.97,Charged Off,debt_consolidation,11.66,5,649,737,2,48284,27.34,32,47
36762,60 months,12.39,368.48,F,4 years,OTHER,168661.35,Charged Off,home_improvement,18.78,7,695,681,9,41695,25.32,30,39
5168,60 months,12.45,752.99,F,10+ years,OWN,132307.66,Default,credit_card,25.36,9,653,771,9,15629,38.76,31,28
34023,36 months,23.91,417.43,E,6 years,MORTGAGE,146930.44,Charged Off,major_purchase,19.83,0,620,722,2,36304,45.1,30,6
23929,36 months,13.04,857.62,C,3 years,MORTGAGE,156032.44,Fully Paid,small_business,28.1,6,775,739,1,41910,94.09,23,8
5916,36 months,11.56,820.56,B,1 year,OWN,82732.79,Default,major_purchase,13.9,7,610,664,6,14975,38.03,11,4
3394,36 months,6.77,870.51,E,7 years,RENT,118947.43,Fully Paid,home_improvement,1.6,8,808,726,7,21405,82.34,6,46
28903,60 months,15.35,154.04,F,4 years,MORTGAGE,120759.96,Default,small_business,0.93,5,635,840,7,33013,76.53,43,44
18441,36 months,21.74,604.22,E,< 1 year,RENT,115083.05,Charged Off,small_business,26.51,7,747,726,0,27204,79.79,42,46
27876,60 months,20.45,571.57,G,10+ years,MORTGAGE,197436.55,Default,debt_consolidation,27.8,5,760,657,7,10053,37.92,23,9
37312,60 months,7.9,120.38,E,7 years,RENT,197585.31,Default,debt_consolidation,16.93,8,694,655,2,8330,31.41,22,30
35960,36 months,8.83,998.23,C,2 years,MORTGAGE,28885.23,Default,home_improvement,6.61,7,778,717,6,32868,82.44,23,42
10876,36 months,14.28,297.43,C,3 years,MORTGAGE,111813.98,Fully Paid,credit_card,14.88,2,705,620,7,30393,14.78,47,27
17761,36 months,17.84,718.49,G,2 years,OTHER,159135.37,Default,debt_consolidation,16.3,0,663,638,6,14924,9.61,19,18
33708,36 months,7.63,731.19,C,< 1 year,OWN,176272.61,Charged Off,small_business,20.66,6,758,679,7,42159,1.02,43,36
26066,60 months,12.24,571.81,C,3 years,MORTGAGE,63989.41,Fully Paid,small_business,1.99,9,834,757,6,24429,85.96,24,33
22527,60 months,18.88,521.08,E,10+ years,RENT,53357.72,Fully Paid,home_improvement,14.68,7,658,731,2,8594,25.24,32,40
30217,60 months,24.01,992.75,F,1 year,RENT,54699.62,Default,major_purchase,16.07,2,772,713,2,34152,88.22,47,16
19765,36 months,11.57,280.32,F,2 years,MORTGAGE,177179.02,Fully Paid,debt_consolidation,17.64,8,845,805,6,7092,5.96,10,11
23126,60 months,14.33,704.17,D,7 years,MORTGAGE,29111.36,Default,small_business,25.52,1,761,741,5,41228,61.36,28,22
2288,36 months,15.02,426.43,D,10+ years,MORTGAGE,28100.51,Charged Off,credit_card,10.17,0,808,642,1,24476,69.44,27,3
15745,36 months,21.57,994.56,A,10+ years,OTHER,67810.97,Charged Off,major_purchase,29.12,8,682,714,6,38848,88.92,35,47
15506,36 months,10.82,106.16,A,10+ years,OWN,124174.65,Fully Paid,small_business,27.93,0,731,664,9,15286,26.64,23,45
34882,60 months,15.67,814.51,D,4 years,OTHER,31232.27,Charged Off,home_improvement,21.81,8,624,818,9,41128,47.91,40,20
25470,60 months,8.38,719.89,D,8 years,MORTGAGE,96512.35,Charged Off,major_purchase,20.3,2,698,848,8,7383,98.42,12,21
15780,36 months,18.65,726.64,B,6 years,RENT,179764.47,Fully Paid,small_business,17.21,2,751,654,7,20464,14.92,27,10
36922,36 months,15.02,317.37,B,< 1 year,OWN,64272.2,Charged Off,major_purchase,3.84,5,731,668,7,4387,87.22,45,23
1855,36 months,13.35,237.0,C,10+ years,OTHER,68853.09,Default,debt_consolidation,19.25,6,680,780,2,15910,87.75,31,19
20732,60 months,16.07,50.82,C,3 years,MORTGAGE,25950.24,Charged Off,major_purchase,2.28,6,623,690,4,33416,52.97,42,45
25363,60 months,24.84,623.04,D,6 years,MORTGAGE,43072.84,Charged Off,debt_consolidation,7.65,8,647,649,7,24848,66.67,44,36
1034,36 months,15.95,523.41,G,8 years,OTHER,27020.24,Default,major_purchase,22.51,3,846,782,1,12376,43.98,17,13
8749,36 months,22.94,544.12,A,7 years,MORTGAGE,27046.55,Default,major_purchase,26.24,6,798,752,1,40331,16.74,43,21
7652,36 months,14.37,732.1,G,2 years,OWN,160462.08,Charged Off,debt_consolidation,14.59,7,684,816,2,15013,50.67,43,28
10025,36 months,22.64,490.68,A,1 year,MORTGAGE,71532.62,Fully Paid,home_improvement,20.31,6,706,657,7,16382,58.64,33,47
3094,60 months,20.43,836.3,A,10+ years,OWN,80708.31,Default,small_business,10.68,1,693,753,7,33989,35.78,27,19
1524,36 months,10.2,927.98,B,7 years,OTHER,140388.9,Charged Off,debt_consolidation,23.44,2,659,647,5,49334,79.08,22,24
16691,60 months,11.22,850.58,B,10+ years,OTHER,76183.6,Default,major_purchase,28.48,9,749,802,6,1420,40.7,8,5
24681,60 months,7.9,899.85,D,10+ years,MORTGAGE,89033.52,Default,home_improvement,13.88,2,696,614,7,2959,70.7,26,7
22856,60 months,13.02,663.45,D,< 1 year,OWN,52132.48,Default,debt_consolidation,6.63,3,795,635,2,38084,17.67,20,21
7051,60 months,14.31,521.85,D,4 years,RENT,141107.52,Fully Paid,small_business,28.17,8,755,611,0,45573,45.91,25,28
26847,36 months,15.16,901.02,A,3 years,MORTGAGE,58181.92,Charged Off,major_purchase,1.41,3,770,662,1,15471,95.36,20,29
22300,60 months,18.88,705.24,E,10+ years,OWN,143979.59,Charged Off,home_improvement,23.98,9,784,668,8,13986,70.14,29,46
2552,60 months,11.24,414.02,G,5 years,OTHER,99921.71,Charged Off,home_improvement,26.33,3,796,656,2,36499,53.8,13,10
25548,60 months,22.06,922.74,E,2 years,OWN,169249.78,Charged Off,home_improvement,22.69,9,838,834,0,11512,43.93,45,15
32396,60 months,14.24,882.55,G,3 years,RENT,128157.21,Fully Paid,small_business,10.02,6,803,789,6,38557,40.7,33,2
14379,36 months,17.8,846.2,G,< 1 year,RENT,74179.67,Charged Off,credit_card,28.84,4,700,664,2,23255,44.08,17,49
9800,36 months,19.27,130.75,G,10+ years,OWN,27041.39,Charged Off,home_improvement,9.95,1,813,796,4,10088,72.6,5,34
28574,36 months,23.48,145.38,A,2 years,OTHER,174229.45,Fully Paid,debt_consolidation,8.0,5,722,714,3,31320,55.83,12,34
25784,36 months,22.47,119.96,D,4 years,OWN,29739.65,Default,major_purchase,16.34,2,678,709,3,43123,34.83,18,8
1828,36 months,13.7,747.52,B,9 years,OWN,116621.94,Charged Off,debt_consolidation,22.73,6,828,847,1,39892,68.64,47,35
18770,36 months,15.04,494.35,B,1 year,RENT,107891.78,Charged Off,small_business,22.4,4,632,816,1,7877,92.02,12,40
39467,36 months,18.17,555.67,E,< 1 year,OWN,75230.78,Charged Off,credit_card,2.85,4,645,840,4,13874,47.43,6,49
11365,36 months,17.75,135.61,D,2 years,RENT,145258.43,Fully Paid,debt_consolidation,1.2,1,604,735,5,44780,52.67,39,20
10118,60 months,11.52,543.44,C,8 years,MORTGAGE,41613.38,Charged Off,home_improvement,19.41,2,647,778,8,40212,52.76,11,21
15651,36 months,18.99,942.91,D,10+ years,OWN,41344.95,Fully Paid,small_business,20.96,0,734,699,3,16944,81.04,22,4
21768,36 months,7.53,233.71,D,4 years,OTHER,90337.62,Fully Paid,credit_card,19.63,5,720,652,0,21733,27.9,13,11
11563,60 months,14.17,209.93,G,4 years,OTHER,173913.55,Charged Off,home_improvement,21.14,9,603,806,0,29608,44.33,5,33
7896,36 months,10.91,816.89,G,5 years,RENT,49985.51,Charged Off,small_business,1.89,5,629,638,1,45309,67.35,11,13
6457,60 months,23.47,486.16,G,10+ years,RENT,128800.73,Default,small_business,14.31,0,821,805,2,9454,59.0,14,5
34188,60 months,11.56,750.06,C,10+ years,OTHER,137666.82,Fully Paid,debt_consolidation,10.84,9,807,688,1,32486,7.93,49,46
20908,36 months,9.54,585.85,G,3 years,OWN,40344.31,Charged Off,home_improvement,12.12,7,778,765,2,46943,90.65,30,5
33121,36 months,23.04,899.93,D,6 years,MORTGAGE,44527.2,Fully Paid,small_business,13.87,8,696,814,0,3926,93.75,13,10
3405,36 months,14.96,72.82,F,< 1 year,RENT,136850.93,Charged Off,credit_card,5.4,6,817,753,0,8111,99.89,21,24
33918,60 months,17.71,262.31,E,8 years,OTHER,58385.77,Default,debt_consolidation,9.43,7,648,837,3,35106,0.5,12,19
2241,60 months,22.2,330.95,B,8 years,OWN,184161.02,Fully Paid,debt_consolidation,18.05,2,848,747,9,46621,25.38,12,13
